frequency,region,application,bandwidth,% of regional bandwidth,hd,sessions,% of regional sessions,category,subcategory,technology,risk,ports
0.044,americas,100bao,21892490,0.000,0,428,0.000,general-internet,file-sharing,peer-to-peer,5,"tcp/3468, 6346, 11300"
0.138,americas,1und1-mail,3956121161,0.000,1,131386,0.000,collaboration,email,browser-based,3,"tcp/80, 443"
0.068,americas,2ch,420186303,0.000,0,12569,0.000,collaboration,social-networking,browser-based,2,tcp/80
0.003,americas,2ch-posting,178505,0.000,0,53,0.000,collaboration,web-posting,browser-based,2,tcp/80
0.236,americas,360-safeguard-update,71646335909,0.000,24,41274745,0.001,business-systems,software-update,client-server,2,"udp/dynamic, tcp/80, 8090"
0.003,americas,3pc,2309,0.000,0,12,0.000,networking,ip-protocol,network-protocol,1,
0.597,americas,4shared,2567650482718,0.000,856,10542818,0.000,general-internet,file-sharing,browser-based,4,"tcp/80, 443"
0.169,americas,51.com-base,852846611,0.000,0,13673,0.000,collaboration,social-networking,browser-based,2,"tcp/dynamic, 80"
0.003,americas,51.com-bbs,51548,0.000,0,5,0.000,collaboration,web-posting,browser-based,2,tcp/80
0.056,americas,51.com-games,6032266,0.000,0,1029,0.000,media,gaming,browser-based,2,tcp/80
0.002,americas,51.com-music,252635,0.000,0,6,0.000,media,audio-streaming,browser-based,2,tcp/80
0.001,americas,51.com-posting,3568,0.000,0,1,0.000,collaboration,web-posting,browser-based,2,tcp/80
0.001,americas,absolute-manage,21870,0.000,0,1,0.000,business-systems,management,client-server,1,tcp/dynamic
0.001,americas,access-grid,27203960,0.000,0,1100,0.000,collaboration,voip-video,client-server,3,"tcp/dynamic, udp/dynamic, tcp/80, 8000, 20000, 20200"
0.054,americas,acronis-snapdeploy,11075353,0.000,0,35223,0.000,business-systems,management,client-server,2,"tcp/dynamic, udp/9876"
0.682,americas,active-directory,1197480486965,0.000,399,54171421,0.001,business-systems,auth-service,client-server,2,"tcp/1025-5000, tcp/135, 138, 389, 445, 464, 636, tcp/49152-65535, tcp/5722, 9389, udp/88, 123, 137, 138, 389, 445, 464, 2535"
0.004,americas,activenet,6077,0.000,0,22,0.000,networking,ip-protocol,network-protocol,1,
0.225,americas,activesync,585672787908,0.000,195,13424897,0.000,business-systems,general-business,client-server,4,"tcp/80, 443"
0.014,americas,adnstream,635104581,0.000,0,781,0.000,media,photo-video,browser-based,3,tcp/80
0.036,americas,adobe-connectnow-base,682414800,0.000,0,767,0.000,collaboration,internet-conferencing,browser-based,2,"tcp/80, 443, 1935"
0.861,americas,adobe-flash-socketpolicy-server,10495394119,0.000,3,4197467,0.000,general-internet,internet-utility,client-server,2,"tcp/dynamic, 843"
0.600,americas,adobe-media-player,111484123782,0.000,37,324609,0.000,media,photo-video,client-server,2,"tcp/80, 443"
0.352,americas,adobe-meeting,227073721083,0.000,76,175507,0.000,collaboration,internet-conferencing,browser-based,2,"tcp/80, 443, 1935"
0.023,americas,adobe-meeting-file-transfer,342515924,0.000,0,589,0.000,general-internet,file-sharing,browser-based,4,"tcp/80, 443, 1935"
0.097,americas,adobe-meeting-remote-control,84233793006,0.000,28,1295,0.000,networking,remote-access,browser-based,3,"tcp/80, 443, 1935"
0.013,americas,adobe-online-office,1678351,0.000,0,98,0.000,business-systems,office-programs,browser-based,3,"tcp/80, 443"
0.955,americas,adobe-update,9925092981100,0.002,3308,18989728,0.000,business-systems,software-update,client-server,2,tcp/80
0.062,americas,adrive,33295141920,0.000,11,9093,0.000,general-internet,file-sharing,browser-based,4,"tcp/80, 443"
0.005,americas,ad-selfservice,130001079,0.000,0,601,0.000,business-systems,auth-service,browser-based,1,"tcp/8888, 80"
0.125,americas,afp,1581919907769,0.000,527,262794,0.000,business-systems,storage-backup,client-server,3,"tcp/548, udp/548"
0.030,americas,afreeca,2997162144,0.000,1,12605,0.000,media,photo-video,browser-based,4,"tcp/80, 1935, 8000-8150"
0.376,americas,aim-base,15959320855,0.000,5,453780,0.000,collaboration,instant-messaging,client-server,4,"tcp/80, 443, 5190-5199"
0.625,americas,aim-express-base,9799118714,0.000,3,665916,0.000,collaboration,instant-messaging,browser-based,4,"tcp/80, 443"
0.005,americas,aim-express-file-transfer,12216088,0.000,0,13,0.000,general-internet,file-sharing,browser-based,3,tcp/80
0.045,americas,aim-file-transfer,9120568542,0.000,3,803,0.000,general-internet,file-sharing,peer-to-peer,4,tcp/5190-5199
