detections,attack,application,category,threatType,severity,risk,region
2,427BB Cookie-based Authentication Bypass Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
1,427BB Cookie-based Authentication Bypass Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
1,7-Zip ARJ File Buffer Overflow Vulnerability,http-audio,overflow,exploit,medium,threat,americas
1,7-Zip ARJ File Buffer Overflow Vulnerability,http-proxy,overflow,exploit,medium,threat,europe
5,7-Zip ARJ File Buffer Overflow Vulnerability,http-video,overflow,exploit,medium,threat,asiapacific
2,7-Zip ARJ File Buffer Overflow Vulnerability,linkedin-base,overflow,exploit,medium,threat,americas
34,7-Zip ARJ File Buffer Overflow Vulnerability,oracle-forms,overflow,exploit,medium,threat,americas
3,7-Zip ARJ File Buffer Overflow Vulnerability,oracle-forms,overflow,exploit,medium,threat,asiapacific
1,7-Zip ARJ File Buffer Overflow Vulnerability,oracle-forms,overflow,exploit,medium,threat,europe
1,7-Zip ARJ File Buffer Overflow Vulnerability,steam,overflow,exploit,medium,threat,americas
14,7-Zip ARJ File Buffer Overflow Vulnerability,web-browsing,overflow,exploit,medium,threat,americas
1549,7-Zip ARJ File Buffer Overflow Vulnerability,web-browsing,overflow,exploit,medium,threat,asiapacific
69,7-Zip ARJ File Buffer Overflow Vulnerability,web-browsing,overflow,exploit,medium,threat,europe
25,7-Zip ARJ File Buffer Overflow Vulnerability,youtube-base,overflow,exploit,medium,threat,americas
33,7-Zip ARJ File Buffer Overflow Vulnerability,youtube-base,overflow,exploit,medium,threat,asiapacific
11,7-Zip ARJ File Buffer Overflow Vulnerability,youtube-base,overflow,exploit,medium,threat,europe
1,7-Zip ARJ File Buffer Overflow Vulnerability,youtube-base,overflow,exploit,medium,threat,japan
2,7-Zip ARJ File Buffer Overflow Vulnerability,0,overflow,exploit,medium,threat,americas
34,ABetterNet_Aurora tracking surfing activity,web-browsing,adware,malware,medium,threat,europe
1,ACal Cookie Based Authentication Bypass Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
5,Access_Remote_PC init connection,0,adware,malware,high,threat,americas
1,Acessor_2_0,custom-tcp,keylogger,malware,high,threat,europe
1,ACGVclick function.inc.php path Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
5,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,sharepoint-base,sql-injection,exploit,high,threat,europe
289,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,web-browsing,sql-injection,exploit,high,threat,americas
257,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,web-browsing,sql-injection,exploit,high,threat,asiapacific
3568,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,web-browsing,sql-injection,exploit,high,threat,europe
259,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,web-browsing,sql-injection,exploit,high,threat,japan
4,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,web-crawler,sql-injection,exploit,high,threat,europe
1,ActiveCampaign 1-2-All Admin Panel Username Parameter SQL Injection,0,sql-injection,exploit,high,threat,asiapacific
1,Activist Mobilization Platform base.php base_path Parameter PHP File Include Vulnerability,web-browsing,code-execution,exploit,high,threat,asiapacific
